,v,vw,o,c,h,l,t,n
0,19014.0,1.3311,1.33447,1.32942,1.33616,1.32745,2011-01-02 08:00:00,19014
1,136926.0,1.3333,1.32942,1.33501,1.33941,1.32492,2011-01-03 08:00:00,136926
2,206103.0,1.3346,1.33501,1.32697,1.34329,1.32621,2011-01-04 08:00:00,206103
3,223793.0,1.3198,1.32696,1.31388,1.32891,1.31243,2011-01-05 08:00:00,223793
4,216165.0,1.3068,1.31388,1.29861,1.31583,1.29669,2011-01-06 08:00:00,216165
5,151438.0,1.2968,1.29861,1.29099,1.30178,1.29044,2011-01-07 08:00:00,151438
6,23268.0,1.2906,1.28755,1.29045,1.29289,1.28734,2011-01-09 08:00:00,23268
7,191883.0,1.2923,1.29045,1.2943,1.29892,1.28723,2011-01-10 08:00:00,191883
8,199778.0,1.2954,1.29429,1.29892,1.30154,1.29032,2011-01-11 08:00:00,199778
9,234475.0,1.3043,1.29894,1.31032,1.31438,1.29604,2011-01-12 08:00:00,234475
10,235483.0,1.3249,1.31034,1.3346,1.33822,1.30877,2011-01-13 08:00:00,235483
11,186300.0,1.3367,1.33464,1.33727,1.34559,1.33133,2011-01-14 08:00:00,186300
12,16682.0,1.3349,1.33825,1.33356,1.33836,1.33319,2011-01-16 08:00:00,16682
13,151860.0,1.329,1.33356,1.33139,1.33411,1.32434,2011-01-17 08:00:00,151860
14,214501.0,1.3394,1.3314,1.34459,1.34651,1.33021,2011-01-18 08:00:00,214501
15,214682.0,1.3474,1.34459,1.34544,1.35373,1.34259,2011-01-19 08:00:00,214682
16,207749.0,1.3464,1.34545,1.34954,1.35222,1.3395,2011-01-20 08:00:00,207749
17,159417.0,1.3545,1.34957,1.36138,1.36238,1.34639,2011-01-21 08:00:00,159417
18,28064.0,1.3603,1.36405,1.35925,1.36405,1.35846,2011-01-23 08:00:00,28064
19,170850.0,1.3617,1.35926,1.36583,1.36845,1.35391,2011-01-24 08:00:00,170850
20,227267.0,1.3639,1.36583,1.36907,1.3703,1.35713,2011-01-25 08:00:00,227267
21,198635.0,1.3687,1.36909,1.37022,1.37204,1.36399,2011-01-26 08:00:00,198635
22,211495.0,1.3711,1.37021,1.3703,1.37571,1.36379,2011-01-27 08:00:00,211495
23,182411.0,1.3675,1.3703,1.36074,1.37453,1.35821,2011-01-28 08:00:00,182411
24,31847.0,1.359,1.35866,1.36029,1.36135,1.35692,2011-01-30 08:00:00,31847
25,201368.0,1.3678,1.36027,1.3727,1.37385,1.35969,2011-01-31 08:00:00,201368
26,216987.0,1.3772,1.3727,1.38509,1.38607,1.36995,2011-02-01 08:00:00,216987
27,191655.0,1.3809,1.38511,1.37942,1.38545,1.37661,2011-02-02 08:00:00,191655
28,200468.0,1.3701,1.37947,1.36294,1.38245,1.36081,2011-02-03 08:00:00,200468
29,144683.0,1.3597,1.36297,1.35796,1.3678,1.35423,2011-02-04 08:00:00,144683
30,26200.0,1.3599,1.35618,1.36088,1.36226,1.35618,2011-02-06 08:00:00,26200
31,214532.0,1.357,1.36088,1.36144,1.36259,1.3507,2011-02-07 08:00:00,214532
